UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
292,L47471,L,298,308.3,1473,42.6,107,0,No Failure
293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure
294,H29707,H,298.1,308.5,1392,44.8,111,0,No Failure
295,M15154,M,298.1,308.5,1372,51.1,116,0,No Failure
296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure
297,L47476,L,298,308.5,1395,46.2,122,0,No Failure
298,L47477,L,298,308.5,1713,25.3,124,0,No Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
300,M15159,M,297.8,308.3,1567,35.6,131,0,No Failure
301,L47480,L,297.8,308.4,1622,38.3,134,0,No Failure
302,L47481,L,297.7,308.4,1740,27.1,136,0,No Failure
303,H29716,H,297.8,308.4,1512,35.1,138,0,No Failure
304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure
305,L47484,L,297.8,308.4,1737,27.5,146,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
308,M15167,M,297.8,308.4,1579,36.6,152,0,No Failure
309,L47488,L,297.9,308.5,1305,47.2,155,0,No Failure
310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure
311,H29724,H,298,308.6,1526,41.8,160,0,No Failure
312,M15171,M,298,308.6,1453,44.1,165,0,No Failure
313,L47492,L,297.9,308.6,1468,36,168,0,No Failure
314,L47493,L,298,308.6,1313,50.8,170,0,No Failure
315,M15174,M,297.9,308.5,1300,53,172,0,No Failure
316,L47495,L,297.9,308.4,1646,40.6,175,0,No Failure
317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure
318,L47497,L,297.8,308.4,1685,28.4,179,0,No Failure
319,L47498,L,297.8,308.4,1512,39.9,181,0,No Failure
320,L47499,L,297.8,308.4,1612,32.1,183,0,No Failure
321,H29734,H,297.8,308.4,1550,38.2,185,0,No Failure
322,L47501,L,297.8,308.4,1518,32.5,190,0,No Failure
323,L47502,L,297.8,308.5,1448,40,192,0,No Failure
324,L47503,L,297.8,308.5,1561,46.3,194,0,No Failure
325,M15184,M,297.8,308.5,1488,41.9,196,0,No Failure
326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure
327,L47506,L,297.7,308.5,1501,41.4,201,0,No Failure
328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure
330,H29743,H,297.7,308.5,1720,29.9,210,0,No Failure
331,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure
332,M15191,M,297.6,308.4,1391,51.9,218,0,No Failure
333,M15192,M,297.6,308.3,1538,40.2,0,0,No Failure
334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure
335,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure
336,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure
337,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure
338,L47517,L,297.6,308.3,1742,27.7,13,0,No Failure
339,L47518,L,297.5,308.2,1563,38.2,15,0,No Failure
340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure
341,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure
342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure
343,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure
344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure
347,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure
348,L47527,L,297.5,308.3,1544,40.8,37,0,No Failure
349,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure
350,L47529,L,297.6,308.3,1595,34.3,41,0,No Failure
351,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure
352,M15211,M,297.6,308.4,1611,31,48,0,No Failure
353,M15212,M,297.6,308.4,1507,46,51,0,No Failure
354,H29767,H,297.5,308.3,1674,30,54,0,No Failure
355,L47534,L,297.6,308.3,1658,34.3,59,0,No Failure
356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure
357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure
358,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure
359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure
360,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure
361,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure
362,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure
363,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure
364,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure
365,L47544,L,297.6,308.4,1407,55.2,86,0,No Failure
366,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure
367,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure
368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure
369,L47548,L,297.5,308.4,1489,39.5,96,0,No Failure
370,H29783,H,297.5,308.4,1587,36.1,98,0,No Failure
371,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure
372,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure
373,M15232,M,297.4,308.3,1405,51.7,108,0,No Failure
374,L47553,L,297.4,308.3,1412,42,111,0,No Failure
375,L47554,L,297.4,308.3,1431,43,113,0,No Failure
376,L47555,L,297.4,308.2,1533,37.4,115,0,No Failure
377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure
378,M15237,M,297.4,308.2,1424,53.9,120,0,No Failure
379,L47558,L,297.3,308.2,1754,29.4,123,0,No Failure
380,L47559,L,297.3,308.2,1754,26.8,125,0,No Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
382,L47561,L,297.5,308.5,1546,40.4,129,0,No Failure
383,L47562,L,297.5,308.5,1335,48,131,0,No Failure
384,M15243,M,297.5,308.6,1842,27,133,0,No Failure
385,L47564,L,297.5,308.5,1712,26.8,136,0,No Failure
386,M15245,M,297.6,308.6,1414,45.4,138,0,No Failure
387,L47566,L,297.6,308.7,1319,50.9,141,0,No Failure
388,L47567,L,297.7,308.7,1249,60.4,143,0,No Failure
389,L47568,L,297.6,308.7,1455,48.2,145,0,No Failure
390,M15249,M,297.6,308.7,1408,54.8,147,0,No Failure
391,L47570,L,297.6,308.7,1460,46.7,150,0,No Failure
392,L47571,L,297.6,308.6,1491,38.1,152,0,No Failure
393,M15252,M,297.6,308.5,1490,43.4,154,0,No Failure
394,M15253,M,297.5,308.4,1350,52.2,157,0,No Failure
395,L47574,L,297.5,308.4,1528,39.9,160,0,No Failure
396,L47575,L,297.4,308.3,1571,37.7,162,0,No Failure
397,L47576,L,297.4,308.3,1490,42.6,164,0,No Failure
398,M15257,M,297.4,308.3,1774,28.9,166,0,No Failure
399,H29812,H,297.4,308.3,1502,43.6,169,0,No Failure
400,L47579,L,297.4,308.4,1392,49.7,174,0,No Failure
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
402,L47581,L,297.5,308.5,1722,30.4,178,0,No Failure
403,L47582,L,297.4,308.6,1678,32.3,180,0,No Failure
404,L47583,L,297.3,308.6,1273,59.8,182,0,No Failure
405,L47584,L,297.3,308.6,1297,45.9,184,0,No Failure
406,L47585,L,297.3,308.5,1350,57.6,186,0,No Failure
407,L47586,L,297.4,308.6,1439,51.9,188,0,No Failure
408,M15267,M,297.4,308.5,1600,42.1,190,0,No Failure
409,M15268,M,297.4,308.6,1434,44.4,193,0,No Failure
410,L47589,L,297.4,308.6,1459,41.3,196,0,No Failure
411,M15270,M,297.5,308.6,1472,44.9,198,0,No Failure
412,L47591,L,297.5,308.7,1429,44.3,201,0,No Failure
413,L47592,L,297.5,308.6,1388,48.2,203,0,No Failure
414,L47593,L,297.4,308.4,1573,34.5,205,0,No Failure
415,L47594,L,297.4,308.4,1588,32.5,207,0,No Failure
416,L47595,L,297.5,308.4,1511,42.8,209,0,No Failure
417,L47596,L,297.4,308.5,1495,37.8,211,0,No Failure
418,L47597,L,297.4,308.4,1394,50.1,213,0,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
420,M15279,M,297.3,308.3,1501,38.2,2,0,No Failure
421,M15280,M,297.3,308.3,1301,39.6,5,0,No Failure
422,M15281,M,297.3,308.3,1657,31.1,8,0,No Failure
423,L47602,L,297.3,308.3,1333,55.2,11,0,No Failure
424,L47603,L,297.3,308.3,1484,43.9,13,0,No Failure
425,L47604,L,297.3,308.4,1430,45.7,15,0,No Failure
426,M15285,M,297.3,308.4,1665,28.9,17,0,No Failure
427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure
428,M15287,M,297.5,308.5,1496,42.2,22,0,No Failure
429,M15288,M,297.6,308.6,1595,36.9,25,0,No Failure
430,L47609,L,297.5,308.6,1208,62.3,28,0,No Failure
431,L47610,L,297.5,308.6,1596,37.1,30,0,No Failure
432,L47611,L,297.5,308.5,1446,41.9,32,0,No Failure
433,M15292,M,297.6,308.5,1466,39.7,34,0,No Failure
434,M15293,M,297.6,308.5,1848,23.7,37,0,No Failure
435,M15294,M,297.5,308.5,1484,44.7,40,0,No Failure
436,L47615,L,297.4,308.3,1493,41.2,43,0,No Failure
437,L47616,L,297.3,308.3,1504,36.3,45,0,No Failure
438,L47617,L,297.3,308.3,1538,38.5,47,0,No Failure
439,L47618,L,297.4,308.4,1341,52.2,49,0,No Failure
440,M15299,M,297.4,308.3,1535,34.6,51,0,No Failure
441,L47620,L,297.4,308.5,1389,39.2,54,0,No Failure
442,H29855,H,297.5,308.5,1393,46.6,56,0,No Failure
443,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure
444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure
445,L47624,L,297.4,308.4,1582,37.2,68,0,No Failure
446,L47625,L,297.5,308.6,1793,26.7,70,0,No Failure
447,L47626,L,297.5,308.6,1452,39,72,0,No Failure
448,M15307,M,297.6,308.7,1376,59.9,74,0,No Failure
449,L47628,L,297.5,308.6,1552,44.9,77,0,No Failure
450,L47629,L,297.6,308.7,1622,37.9,79,0,No Failure
451,M15310,M,297.6,308.7,1419,41.7,81,0,No Failure
452,H29865,H,297.5,308.6,1440,46.1,84,0,No Failure
453,M15312,M,297.4,308.6,1643,31,89,0,No Failure
454,L47633,L,297.4,308.7,1510,36.2,92,0,No Failure
455,L47634,L,297.4,308.7,1468,46.6,94,0,No Failure
456,L47635,L,297.4,308.7,1429,57.4,96,0,No Failure
457,H29870,H,297.3,308.7,1478,47.6,98,0,No Failure
458,L47637,L,297.4,308.6,1276,53.6,103,0,No Failure
459,L47638,L,297.3,308.6,1486,42.6,105,0,No Failure
460,L47639,L,297.4,308.6,1476,42.3,107,0,No Failure
461,H29874,H,297.3,308.6,1431,42,109,0,No Failure
462,L47641,L,297.4,308.7,1402,40.2,114,0,No Failure
463,L47642,L,297.4,308.7,1433,43.4,116,0,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
465,L47644,L,297.3,308.6,1511,35.7,120,0,No Failure
466,M15325,M,297.3,308.6,1456,42.9,122,0,No Failure
467,L47646,L,297.2,308.5,1550,41.5,125,0,No Failure
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
469,L47648,L,297.3,308.7,1619,31.6,129,0,No Failure
470,M15329,M,297.3,308.8,1586,32.7,131,0,No Failure
471,H29884,H,297.3,308.8,1499,44.2,134,0,No Failure
472,H29885,H,297.3,308.8,1419,42.4,139,0,No Failure
473,M15332,M,297.4,309,1497,41.8,144,0,No Failure
474,M15333,M,297.4,309,1520,37,147,0,No Failure
475,L47654,L,297.4,309.1,1478,49.8,150,0,No Failure
476,L47655,L,297.4,309.1,1380,41.1,152,0,No Failure
477,L47656,L,297.4,309,1570,37.9,154,0,No Failure
478,H29891,H,297.4,309,1468,41.4,156,0,No Failure
479,L47658,L,297.4,309,1833,22.6,161,0,No Failure
480,M15339,M,297.4,308.9,1323,57.3,163,0,No Failure
481,L47660,L,297.4,309,1583,32,166,0,No Failure
482,M15341,M,297.3,309,1556,39.5,168,0,No Failure
483,L47662,L,297.3,309,1548,37.4,171,0,No Failure
484,L47663,L,297.4,309,1324,56.9,173,0,No Failure
485,L47664,L,297.4,309,1568,33.7,175,0,No Failure
486,M15345,M,297.4,309,1685,30.7,177,0,No Failure
487,M15346,M,297.4,309.1,1582,35.9,180,0,No Failure
488,M15347,M,297.4,309.1,1463,35,183,0,No Failure
489,L47668,L,297.4,309.2,1584,42.8,186,0,No Failure
490,M15349,M,297.5,309.2,1347,55.8,188,0,No Failure
491,L47670,L,297.4,309.2,1459,37.9,191,0,No Failure
492,L47671,L,297.4,309.2,1420,45.6,193,0,No Failure
493,L47672,L,297.5,309.3,1404,43.5,195,0,No Failure
494,L47673,L,297.5,309.3,1470,38.8,197,0,No Failure
495,L47674,L,297.6,309.4,1326,49.8,199,0,No Failure
496,H29909,H,297.5,309.3,1459,49.7,201,0,No Failure
497,M15356,M,297.5,309.2,1530,40,206,0,No Failure
498,L47677,L,297.4,309,1505,39.2,209,0,No Failure
499,L47678,L,297.5,309.1,1611,30.2,211,0,No Failure
500,L47679,L,297.5,309.1,1515,35.1,213,0,No Failure
501,M15360,M,297.5,309.2,1804,27.4,215,0,No Failure
502,M15361,M,297.6,309.3,1464,46.2,218,0,No Failure
503,L47682,L,297.6,309.2,1390,43.3,221,0,No Failure
504,M15363,M,297.6,309.2,1442,48.1,0,0,No Failure
505,M15364,M,297.6,309.3,1529,41.9,3,0,No Failure
506,L47685,L,297.6,309.3,1610,35,6,0,No Failure
507,L47686,L,297.6,309.3,1543,34.3,8,0,No Failure
508,H29921,H,297.8,309.4,1445,48.2,10,0,No Failure
509,L47688,L,297.7,309.3,1893,24.6,15,0,No Failure
510,M15369,M,297.6,309.3,1415,41.3,17,0,No Failure
511,L47690,L,297.5,309.3,1564,37.5,20,0,No Failure
512,L47691,L,297.5,309.3,1479,39.4,22,0,No Failure
513,L47692,L,297.5,309.2,1426,44.8,24,0,No Failure
514,L47693,L,297.4,309.2,1428,38.8,26,0,No Failure
515,L47694,L,297.4,309.2,1620,33.2,28,0,No Failure
516,L47695,L,297.5,309.2,1715,28,30,0,No Failure
517,L47696,L,297.5,309.3,1732,29.9,32,0,No Failure
518,M15377,M,297.5,309.4,1391,58.2,34,0,No Failure
519,L47698,L,297.6,309.5,1924,20.6,37,0,No Failure
520,M15379,M,297.7,309.5,2027,19.8,39,0,No Failure
521,L47700,L,297.6,309.5,1617,36.2,42,0,No Failure
522,L47701,L,297.5,309.4,1497,35.8,44,0,No Failure
523,M15382,M,297.5,309.5,1448,43.7,46,0,No Failure
524,L47703,L,297.4,309.4,1401,45.9,49,0,No Failure
525,L47704,L,297.4,309.4,1620,35.4,51,0,No Failure
526,L47705,L,297.4,309.4,1466,45.5,53,0,No Failure
527,L47706,L,297.6,309.5,1373,50.6,55,0,No Failure
528,M15387,M,297.6,309.6,1592,35.8,57,0,No Failure
529,M15388,M,297.5,309.5,1553,42.4,60,0,No Failure
530,L47709,L,297.6,309.5,1569,36.2,63,0,No Failure
531,M15390,M,297.6,309.5,1709,32.2,65,0,No Failure
532,L47711,L,297.6,309.5,1549,34.9,68,0,No Failure
533,L47712,L,297.5,309.4,1443,45.4,70,0,No Failure
534,L47713,L,297.5,309.3,1675,29.8,72,0,No Failure
535,L47714,L,297.5,309.3,1623,33.4,74,0,No Failure
536,H29949,H,297.4,309.3,1365,52.4,76,0,No Failure
537,L47716,L,297.4,309.3,1759,24.8,81,0,No Failure
538,H29951,H,297.4,309.3,1516,43,83,0,No Failure
539,M15398,M,297.4,309.3,1499,36.8,88,0,No Failure
540,M15399,M,297.4,309.3,1775,25.8,91,0,No Failure
541,L47720,L,297.4,309.4,1473,45.5,94,0,No Failure
542,L47721,L,297.4,309.4,1296,52.3,96,0,No Failure
543,L47722,L,297.5,309.4,1803,24.7,98,0,No Failure
544,H29957,H,297.5,309.3,1563,36.1,100,0,No Failure
545,M15404,M,297.5,309.4,1831,26.6,105,0,No Failure
546,L47725,L,297.6,309.4,1958,22.1,108,0,No Failure
547,L47726,L,297.5,309.4,1809,24.3,110,0,No Failure
548,M15407,M,297.5,309.4,1482,39.3,112,0,No Failure
549,L47728,L,297.4,309.3,1332,53.2,115,0,No Failure
550,L47729,L,297.4,309.2,1437,40.4,117,0,No Failure
551,L47730,L,297.4,309.2,1698,29.4,119,0,No Failure
552,L47731,L,297.4,309.2,1274,54.3,121,0,No Failure
553,M15412,M,297.4,309.3,1622,35,123,0,No Failure
554,M15413,M,297.4,309.3,1564,36,126,0,No Failure
555,H29968,H,297.5,309.4,1368,45.3,129,0,No Failure
556,M15415,M,297.4,309.4,1539,42.2,134,0,No Failure
557,L47736,L,297.5,309.4,1357,50.1,137,0,No Failure
558,M15417,M,297.5,309.4,1433,48.3,139,0,No Failure
559,L47738,L,297.5,309.4,1650,34.6,142,0,No Failure
560,L47739,L,297.5,309.4,1503,40.6,144,0,No Failure
561,L47740,L,297.5,309.4,1318,58.2,146,0,No Failure
562,M15421,M,297.5,309.4,1678,34.4,148,0,No Failure
563,L47742,L,297.6,309.5,1574,30.9,151,0,No Failure
564,L47743,L,297.7,309.6,1529,35.2,153,0,No Failure
565,H29978,H,297.6,309.6,1669,32.1,155,0,No Failure
566,H29979,H,297.7,309.7,1570,35.8,160,0,No Failure
567,M15426,M,297.6,309.7,1541,33.7,165,0,No Failure
568,M15427,M,297.7,309.7,1680,30.2,168,0,No Failure
569,L47748,L,297.8,309.7,1935,22.1,171,0,No Failure
570,M15429,M,297.7,309.6,1596,35.2,173,0,No Failure
571,L47750,L,297.7,309.7,1498,41,176,0,No Failure
572,M15431,M,297.8,309.8,1676,29,178,0,No Failure
573,L47752,L,297.8,309.9,1351,49,181,0,No Failure
574,L47753,L,297.9,309.9,1472,45,183,0,No Failure
575,M15434,M,297.9,310,1439,41.7,185,0,No Failure
576,M15435,M,297.9,309.9,1410,55.4,188,0,No Failure
577,H29990,H,297.7,309.7,1440,51.1,191,0,No Failure
578,L47757,L,297.7,309.7,1591,37.7,196,0,No Failure
579,L47758,L,297.8,309.8,1533,36.8,198,0,No Failure
580,M15439,M,297.8,309.7,1700,31.3,200,0,No Failure
581,M15440,M,297.8,309.8,1798,25.5,203,0,No Failure
582,L47761,L,297.8,309.7,1394,42.9,206,0,No Failure
583,L47762,L,297.8,309.7,1341,49.2,208,0,No Failure
584,H29997,H,297.7,309.6,1697,32.2,210,0,No Failure
585,H29998,H,297.6,309.6,1419,48.2,215,0,No Failure
586,L47765,L,297.6,309.5,2001,20.5,220,0,No Failure
